City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
batagay,68,RU,1541178094,72,67.65,134.64,-6.84,2.93
le havre,0,FR,1541176200,61,49.49,0.11,50.0,2.24
ushuaia,75,AR,1541174400,67,-54.81,-68.31,48.2,13.78
san patricio,90,MX,1541173200,83,19.22,-104.7,78.8,3.6
hilo,1,US,1541174160,75,19.71,-155.08,68.0,6.93
rikitea,92,PF,1541178096,100,-23.12,-134.97,71.83,16.35
manaure,75,CO,1541174400,59,11.78,-72.45,89.6,18.34
avarua,80,CK,1541178067,100,-21.21,-159.78,74.93,13.11
ardakan,0,IR,1541176200,37,32.31,54.02,53.6,4.7
bredasdorp,0,ZA,1541174400,55,-34.53,20.04,64.4,23.04
kapaa,40,US,1541175180,79,22.08,-159.32,77.0,13.87
muisne,8,EC,1541178098,83,0.61,-80.02,81.01,4.38
albany,92,AU,1541178098,95,-35.02,117.88,51.8,3.38
bonthe,36,SL,1541178099,94,7.53,-12.5,79.75,1.48
bluff,80,NZ,1541178099,78,-46.6,168.33,59.23,20.49
derzhavinsk,92,KZ,1541178100,86,51.1,66.31,32.27,14.67
busselton,44,AU,1541178100,100,-33.64,115.35,58.64,13
dingle,92,IE,1541178101,95,52.14,-10.27,54.28,28.77
camacha,40,PT,1541176200,72,33.08,-16.33,69.8,11.41
hambantota,48,LK,1541178102,100,6.12,81.12,78.58,3.71
vaini,75,TO,1541174400,77,-21.2,-175.2,68.0,14.99
nabire,8,ID,1541178103,96,-3.36,135.5,66.97,1.7
tasiilaq,40,GL,1541177400,54,65.61,-37.64,30.2,4.7
faanui,92,PF,1541178103,100,-16.48,-151.75,77.95,18.37
yellowknife,90,CA,1541176440,92,62.45,-114.38,24.8,11.41
ambovombe,76,MG,1541178104,90,-25.18,46.09,72.5,3.94
nhulunbuy,0,AU,1541176200,83,-12.18,136.78,77.0,12.44
buarcos,75,PT,1541174400,93,40.16,-8.88,60.8,6.93
arraial do cabo,75,BR,1541178000,65,-22.97,-42.02,82.4,3.36
benjamin constant,75,BR,1541178000,83,-4.38,-70.03,84.2,3.36
vestmannaeyjar,40,IS,1541174400,86,63.44,-20.27,39.2,23.04
hobart,20,AU,1541176380,52,-42.88,147.33,46.4,19.46
mar del plata,32,AR,1541178107,49,-46.43,-67.52,62.42,13.44
hermanus,0,ZA,1541178107,44,-34.42,19.24,66.7,5.17
nanortalik,36,GL,1541178108,95,60.14,-45.24,32.54,9.86
ribeira grande,20,PT,1541176200,88,38.52,-28.7,71.6,9.17
green river,90,US,1541174040,73,41.53,-109.47,42.98,20.8
victoria,20,SC,1541174400,88,-4.62,55.45,80.6,4.7
clyde river,75,CA,1541174400,78,70.47,-68.59,10.4,12.75
takoradi,64,GH,1541178110,99,4.89,-1.75,80.69,8.86
ljungby,75,SE,1541175600,81,56.83,13.94,50.0,9.17
davila,0,PH,1541178111,97,18.47,120.58,79.48,9.42
east london,20,ZA,1541174400,59,-33.02,27.91,64.4,14.99
kodiak,90,US,1541177580,71,39.95,-94.76,50.0,14.99
flin flon,90,CA,1541174400,63,54.77,-101.88,28.4,5.82
nikolskoye,90,RU,1541174400,93,59.7,30.79,44.6,8.95
chuy,20,UY,1541178113,81,-33.69,-53.46,67.6,11.99
portland,0,AU,1541178114,73,-33.35,149.98,66.74,7.74
komsomolskiy,68,RU,1541178114,85,67.55,63.78,24.08,10.65
klaksvik,68,FO,1541175600,70,62.23,-6.59,42.8,12.75
goya,0,AR,1541178175,56,-29.14,-59.27,87.76,11.54
eqbaliyeh,20,IR,1541176200,75,35.3,51.54,55.4,3.36
phan thiet,48,VN,1541177882,92,10.93,108.1,80.38,10.65
hasaki,20,JP,1541174400,93,35.73,140.83,48.2,4.7
sambava,0,MG,1541178177,100,-14.27,50.17,77.18,15.23
lumphat,8,KH,1541178177,75,13.5,106.97,72.23,4.38
lexington,90,US,1541176500,93,38.05,-84.5,44.96,6.93
atuona,0,PF,1541178178,100,-9.8,-139.03,80.78,11.99
joshimath,80,IN,1541178179,82,30.57,79.57,11.62,0.69
husavik,20,IS,1541174400,74,66.04,-17.34,30.2,9.17
marawi,0,SD,1541178179,34,18.48,31.82,80.6,9.64
qaanaaq,0,GL,1541178180,100,77.48,-69.36,0.73,8.75
vao,0,NC,1541178180,100,-22.67,167.48,71.02,22.28
honiara,88,SB,1541178181,100,-9.43,159.96,75.16,4.61
juli,24,PE,1541178181,55,-16.21,-69.46,59.95,5.73
sungairaya,64,ID,1541178181,100,0.7,108.9,73.13,3.04
iqaluit,20,CA,1541174400,71,63.75,-68.52,5.0,12.75
terrace,90,CA,1541176080,93,54.52,-128.61,39.2,1.25
port alfred,0,ZA,1541178172,86,-33.59,26.89,63.46,15.23
sarh,40,TD,1541174400,48,9.14,18.39,87.8,6.93
wageningen,20,SR,1541178183,94,5.77,-56.69,83.53,9.64
tiksi,64,RU,1541178183,57,71.64,128.87,-6.3,4.94
ucluelet,40,CA,1541174400,100,48.94,-125.55,51.8,13.87
povoa de varzim,40,PT,1541176200,87,41.38,-8.76,60.8,8.05
opuwo,0,NA,1541178185,22,-18.06,13.84,80.65,9.98
evensk,0,RU,1541178185,100,61.92,159.24,11.48,7.29
bataipora,0,BR,1541178186,78,-22.3,-53.27,90.5,4.83
okhotsk,76,RU,1541178186,100,59.36,143.24,19.27,3.94
norman wells,90,CA,1541176500,84,65.28,-126.83,8.6,3.36
kirovsk,80,RU,1541178187,100,67.62,33.66,26.15,2.59
cukai,80,MY,1541174400,94,4.25,103.42,77.0,1.12
sayyan,0,YE,1541178188,52,15.17,44.32,54.05,5.17
castro,100,CL,1541178188,87,-42.48,-73.76,52.43,2.59
la ronge,90,CA,1541174400,73,55.1,-105.3,24.8,8.05
pahrump,1,US,1541177580,29,36.21,-115.98,68.0,5.82
tuktoyaktuk,90,CA,1541174400,92,69.44,-133.03,10.4,6.93
sao felix do xingu,76,BR,1541177991,82,-6.64,-51.99,81.55,2.93
chancay,0,PE,1541178191,62,-11.56,-77.27,73.18,4.72
luebo,32,CD,1541178191,98,-5.35,21.42,73.18,1.59
ayna,40,PE,1541174400,64,-12.72,-73.91,68.0,3.36
kholodnyy,56,RU,1541178192,72,62.72,147.95,-4.9,2.71
luz,24,BR,1541178193,60,-19.79,-45.68,87.31,5.5
haapiti,20,PF,1541176200,73,-17.57,-149.87,77.0,4.7
punta arenas,75,CL,1541174400,41,-53.16,-70.91,57.2,18.34
cidreira,0,BR,1541178195,76,-30.17,-50.22,73.18,14.9
